           model_eff    task arm    k  filler_tokens   n  acc  baseline   gain  gain_se  parse  compliant  max_reasoning_tokens
     gpt-6-astra:low   gsm8k  CB   50            148 100 0.95     0.940  0.010    0.028   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  CB  100            298 100 0.95     0.940  0.010    0.028   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  CB  500           1498 100 0.95     0.940  0.010    0.028   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  CB 1000           2999 100 0.95     0.940  0.010    0.028   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  CC   10             28 100 0.94     0.940  0.000    0.029   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  CC  100            298 100 0.96     0.940  0.020    0.026   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  RB    1             59 100 0.96     0.940  0.020    0.026   1.00       1.00                     0
     gpt-6-astra:low   gsm8k  RB    3            177 100 0.96     0.940  0.020    0.026   1.00       1.00                     0
     gpt-6-astra:low   gsm8k   C    1              0 100 0.94     0.940  0.000    0.029   1.00       1.00                     0
     gpt-6-astra:low   gsm8k   C    3              0 100 0.95     0.940  0.010    0.028   1.00       1.00                     0
      gpt-4o:default    gpqa  XB   20             20 100 0.34     0.415 -0.075    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  XB  140            140 100 0.42     0.415  0.005    0.060   1.00       1.00                     0
      gpt-4o:default    gpqa  XB  700            700 100 0.34     0.415 -0.075    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  XC   20             20 100 0.39     0.415 -0.025    0.060   1.00       0.12                     0
      gpt-4o:default    gpqa  XC  140            140 100 0.37     0.415 -0.045    0.060   0.99       0.06                     0
      gpt-4o:default    gpqa  XC  700            700 100 0.34     0.415 -0.075    0.059   0.99       0.00                     0
      gpt-4o:default    gpqa  CB   10             28 100 0.43     0.415  0.015    0.061   1.00       1.00                     0
      gpt-4o:default    gpqa  CB   50            148 100 0.34     0.415 -0.075    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  CB  100            298 100 0.35     0.415 -0.065    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  CB  500           1498 100 0.35     0.415 -0.065    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  CB 1000           2999 100 0.37     0.415 -0.045    0.060   1.00       1.00                     0
      gpt-4o:default    gpqa  CC   10             28 100 0.38     0.415 -0.035    0.060   1.00       1.00                     0
      gpt-4o:default    gpqa  CC  100            298 100 0.33     0.415 -0.085    0.059   1.00       1.00                     0
      gpt-4o:default    gpqa  RB    1            206 100 0.40     0.415 -0.015    0.060   1.00       1.00                     0
      gpt-4o:default    gpqa  RB    3            621 100 0.39     0.415 -0.025    0.060   1.00       1.00                     0
