model_eff,depth,arm,k,n,acc,compliant,acc_compliant,incomplete,reason_tok,out_tok,latency
gpt-5.6-sol:low,12,C,2,40,1.0,1.0,1.0,0.0,71.7,1083.7,11.87287175655365
gpt-5.6-sol:low,12,C,4,40,0.9,1.0,0.9,0.0,68.7,2082.5,21.721227407455444
gpt-5.6-sol:low,12,C,8,40,0.975,1.0,0.975,0.0,81.925,4099.875,39.79265344142914
gpt-5.6-sol:none,2,B,0,40,0.95,1.0,0.95,0.0,0.0,8.0,0.9891370534896851
gpt-5.6-sol:none,2,B,1,40,0.975,1.0,0.975,0.0,0.0,8.0,1.0119602680206299
gpt-5.6-sol:none,2,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,0.9784263372421265
gpt-5.6-sol:none,2,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0126712322235107
gpt-5.6-sol:none,2,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0521892309188843
gpt-5.6-sol:none,2,C,1,40,0.975,1.0,0.975,0.0,0.0,109.0,2.1025789976119995
gpt-5.6-sol:none,2,C,2,40,1.0,1.0,1.0,0.0,0.0,210.0,3.1453839540481567
gpt-5.6-sol:none,2,C,4,40,1.0,1.0,1.0,0.0,0.0,412.0,5.095924973487854
gpt-5.6-sol:none,2,C,8,40,1.0,1.0,1.0,0.0,0.0,816.0,8.933183550834656
gpt-5.6-sol:none,3,B,0,40,0.2,1.0,0.2,0.0,0.0,8.0,1.0644211769104004
gpt-5.6-sol:none,3,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0247328281402588
gpt-5.6-sol:none,3,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0275352001190186
gpt-5.6-sol:none,3,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0430241823196411
gpt-5.6-sol:none,3,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.0071189403533936
gpt-5.6-sol:none,3,C,1,40,0.975,1.0,0.975,0.0,0.0,149.0,2.5796010494232178
gpt-5.6-sol:none,3,C,2,40,1.0,1.0,1.0,0.0,0.0,290.0,3.7557934522628784
gpt-5.6-sol:none,3,C,4,40,1.0,1.0,1.0,0.0,0.0,572.0,6.811586976051331
gpt-5.6-sol:none,3,C,8,40,1.0,1.0,1.0,0.0,0.0,1136.0,12.31045150756836
gpt-5.6-sol:none,4,B,0,40,0.125,1.0,0.125,0.0,0.0,8.0,1.0454673767089844
gpt-5.6-sol:none,4,B,1,40,0.35,1.0,0.35,0.0,0.0,8.0,1.000170350074768
gpt-5.6-sol:none,4,B,2,40,0.525,1.0,0.525,0.0,0.0,8.0,1.0502992868423462
gpt-5.6-sol:none,4,B,4,40,0.5,1.0,0.5,0.0,0.0,8.0,1.0216472148895264
gpt-5.6-sol:none,4,B,8,40,0.575,1.0,0.575,0.0,0.0,8.0,1.0560877323150635
gpt-5.6-sol:none,4,C,1,40,0.6,1.0,0.6,0.0,0.0,189.0,2.9607300758361816
gpt-5.6-sol:none,4,C,2,40,0.7,1.0,0.7,0.0,0.0,370.0,4.887741923332214
gpt-5.6-sol:none,4,C,4,40,0.55,1.0,0.55,0.0,0.0,732.0,8.248988509178162
gpt-5.6-sol:none,4,C,8,40,0.55,1.0,0.55,0.0,0.0,1456.0,15.329343557357788
gpt-5.6-sol:none,6,B,0,40,0.175,1.0,0.175,0.0,0.0,8.0,1.003821849822998
gpt-5.6-sol:none,6,B,1,40,0.075,1.0,0.075,0.0,0.0,8.0,1.0097324848175049
gpt-5.6-sol:none,6,B,2,40,0.125,1.0,0.125,0.0,0.0,8.0,1.0434983968734741
gpt-5.6-sol:none,6,B,4,40,0.1,1.0,0.1,0.0,0.0,8.0,1.0289077758789062
gpt-5.6-sol:none,6,B,8,40,0.15,1.0,0.15,0.0,0.0,8.0,1.0013160705566406
gpt-5.6-sol:none,6,C,1,40,0.15,1.0,0.15,0.0,0.0,269.0,3.7389973402023315
gpt-5.6-sol:none,6,C,2,40,0.15,1.0,0.15,0.0,0.0,530.0,6.542710781097412
gpt-5.6-sol:none,6,C,4,40,0.125,1.0,0.125,0.0,0.0,1052.0,11.211810111999512
gpt-5.6-sol:none,6,C,8,40,0.075,1.0,0.075,0.0,0.0,2096.0,21.20036780834198
gpt-5.6-sol:none,8,B,0,40,0.05,1.0,0.05,0.0,0.0,8.0,1.0942472219467163
gpt-5.6-sol:none,8,B,1,40,0.15,1.0,0.15,0.0,0.0,8.0,1.0057706832885742
gpt-5.6-sol:none,8,B,2,40,0.15,1.0,0.15,0.0,0.0,8.0,0.955945611000061
gpt-5.6-sol:none,8,B,4,40,0.175,1.0,0.175,0.0,0.0,8.0,0.9869413375854492
gpt-5.6-sol:none,8,B,8,40,0.2,1.0,0.2,0.0,0.0,8.0,1.0528573989868164
gpt-5.6-sol:none,8,C,1,40,0.15,1.0,0.15,0.0,0.0,349.0,4.566985726356506
gpt-5.6-sol:none,8,C,2,40,0.175,1.0,0.175,0.0,0.0,690.0,7.909602165222168
gpt-5.6-sol:none,8,C,4,40,0.175,1.0,0.175,0.0,0.0,1372.0,14.19690716266632
gpt-5.6-sol:none,8,C,8,40,0.125,1.0,0.125,0.0,0.0,2736.0,27.864120483398438
gpt-5.6-sol:none,12,B,0,40,0.125,1.0,0.125,0.0,0.0,8.0,0.9783231019973755
gpt-5.6-sol:none,12,B,1,40,0.125,1.0,0.125,0.0,0.0,8.0,1.0350607633590698
gpt-5.6-sol:none,12,B,2,40,0.075,1.0,0.075,0.0,0.0,8.0,1.034541368484497
gpt-5.6-sol:none,12,B,4,40,0.0,1.0,0.0,0.0,0.0,8.0,1.0272718667984009
gpt-5.6-sol:none,12,B,8,40,0.1,1.0,0.1,0.0,0.0,8.0,1.016891598701477
gpt-5.6-sol:none,12,C,1,40,0.075,1.0,0.075,0.0,0.0,509.0,6.083769202232361
gpt-5.6-sol:none,12,C,2,40,0.05,1.0,0.05,0.0,0.0,1010.0,11.218194365501404
gpt-5.6-sol:none,12,C,4,40,0.1,1.0,0.1,0.0,0.0,2012.0,20.49668288230896
gpt-5.6-sol:none,12,C,8,40,0.075,1.0,0.075,0.0,0.0,4016.0,39.79693043231964
gpt-6-astra:low,2,B,0,40,1.0,1.0,1.0,0.0,0.0,8.0,1.1581590175628662
gpt-6-astra:low,2,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2648743391036987
gpt-6-astra:low,2,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2586464881896973
gpt-6-astra:low,2,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3316665887832642
gpt-6-astra:low,2,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2422261238098145
gpt-6-astra:low,2,C,1,40,1.0,1.0,1.0,0.0,0.0,109.0,2.243317127227783
gpt-6-astra:low,2,C,2,40,1.0,1.0,1.0,0.0,0.0,210.0,3.300955295562744
gpt-6-astra:low,2,C,4,40,1.0,1.0,1.0,0.0,0.0,412.0,5.311858773231506
gpt-6-astra:low,2,C,8,40,1.0,1.0,1.0,0.0,0.0,816.0,9.335777163505554
gpt-6-astra:low,3,B,0,40,1.0,1.0,1.0,0.0,0.0,8.0,1.268740177154541
gpt-6-astra:low,3,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.1980643272399902
gpt-6-astra:low,3,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.26642906665802
gpt-6-astra:low,3,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3233342170715332
gpt-6-astra:low,3,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.267556071281433
gpt-6-astra:low,3,C,1,40,1.0,1.0,1.0,0.0,0.0,149.0,2.7045228481292725
gpt-6-astra:low,3,C,2,40,1.0,1.0,1.0,0.0,0.0,290.0,4.078010320663452
gpt-6-astra:low,3,C,4,40,1.0,1.0,1.0,0.0,0.0,572.0,7.014575839042664
gpt-6-astra:low,3,C,8,40,1.0,1.0,1.0,0.0,0.0,1136.0,12.566447377204895
gpt-6-astra:low,4,B,0,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3505796194076538
gpt-6-astra:low,4,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2829763889312744
gpt-6-astra:low,4,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2809619903564453
gpt-6-astra:low,4,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.363024353981018
gpt-6-astra:low,4,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3869659900665283
gpt-6-astra:low,4,C,1,40,1.0,1.0,1.0,0.0,0.0,189.0,3.072658896446228
gpt-6-astra:low,4,C,2,40,1.0,1.0,1.0,0.0,0.0,370.0,4.8507983684539795
gpt-6-astra:low,4,C,4,40,1.0,1.0,1.0,0.0,0.0,732.0,8.521287202835083
gpt-6-astra:low,4,C,8,40,1.0,1.0,1.0,0.0,0.0,1456.0,15.77178418636322
gpt-6-astra:low,6,B,0,40,0.55,1.0,0.55,0.0,0.0,8.0,1.356662392616272
gpt-6-astra:low,6,B,1,40,1.0,1.0,1.0,0.0,0.0,8.0,1.363382339477539
gpt-6-astra:low,6,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3438730239868164
gpt-6-astra:low,6,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.4234501123428345
gpt-6-astra:low,6,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3671311140060425
gpt-6-astra:low,6,C,1,40,1.0,1.0,1.0,0.0,0.0,269.0,3.9334405660629272
gpt-6-astra:low,6,C,2,40,1.0,1.0,1.0,0.0,0.0,530.0,6.47735857963562
gpt-6-astra:low,6,C,4,40,1.0,1.0,1.0,0.0,0.0,1052.0,11.804882287979126
gpt-6-astra:low,6,C,8,40,1.0,1.0,1.0,0.0,0.0,2096.0,22.2418771982193
gpt-6-astra:low,8,B,0,40,0.075,1.0,0.075,0.0,0.0,8.0,1.3263909816741943
gpt-6-astra:low,8,B,1,40,0.95,1.0,0.95,0.0,0.0,8.0,1.3260492086410522
gpt-6-astra:low,8,B,2,40,1.0,1.0,1.0,0.0,0.0,8.0,1.2612789869308472
gpt-6-astra:low,8,B,4,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3649064302444458
gpt-6-astra:low,8,B,8,40,1.0,1.0,1.0,0.0,0.0,8.0,1.3437762260437012
gpt-6-astra:low,8,C,1,40,0.925,1.0,0.925,0.0,0.0,349.0,4.770029187202454
gpt-6-astra:low,8,C,2,40,0.95,1.0,0.95,0.0,0.0,690.0,8.123727560043335
