condition,n,TH50 min,TH50 lo,TH50 hi,TH80 min,TH80 lo,TH80 hi,slope
no filler,4542,4.479642625331605,4.046453105163368,4.932603519891135,0.989210049420657,0.8239260052241335,1.150097619196384,-0.6361965100577657
~600 filler tokens,4551,11.189325411198526,10.174562507860568,12.306829835700869,2.7312748349334606,2.4218552378759877,3.046355150722827,-0.6814009648618786
"~2,000 filler tokens",4551,12.696900382280987,11.544250599490981,14.08734907246592,3.093514515859941,2.769730833261527,3.4827664497220745,-0.6805042169638816
